casual_phrase,clinical_translation,category
"triggers","relapse triggers","substance"

"NA/AA","12-step program participation","substance"

"sponsor","12-step sponsor relationship","substance"

"seems like","appears to demonstrate","observation"

"looks like","observable presentation suggests","observation"

"noticed","clinical observation noted","observation"

"saw","observed","observation"

"heard","reported","observation"

"said","verbalized","observation"

"told me","disclosed","observation"

"mentioned","referenced","observation"

"brought up","initiated discussion regarding","observation"

"complained about","expressed concerns regarding","observation"

"denied","refuted","observation"

"admitted","acknowledged","observation"

